"Mineral Name","RRUFF Chemistry (plain)","Database ID","Country of Type Locality"
"Abellaite","NaPb2+2(CO3)2(OH)","6482","Spain"
"Abelsonite","Ni2+C31H32N4","777","USA"
"Abenakiite-(Ce)","Na26Ce3+6(SiO3)6(PO4)6(C4+O3)6(S4+O2)O","778","Canada"
"Abernathyite","K(U6+O2)As5+O4·3H2O","779","USA"
"Abhurite","Sn2+21O6(OH)14Cl16","780","Saudi Arabia"
"Abramovite","Pb2+2Sn4+In3+Bi3+S2-7","5327","Russia"
"Abswurmbachite","Cu2+Mn3+6O8(SiO4)","781","Greece"
"Abuite","CaAl2(PO4)2F2","6382","Japan"
"Acanthite","Ag1+2S2-","782","Czech Republic"
"Acetamide","CH3CONH2","783","Ukraine"
"Achalaite","Fe2+Ti4+Nb5+2O8","6262","Argentina"
"Achávalite","FeSe","5363","Argentina"
"Achyrophanite","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(As5+O4)5","6754","Russia"
"Acmonidesite","(N3-H4,K,Pb2+,Na)9Fe2+4(S6+O4)5Cl8","6229","Italy"
"Actinolite","Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","784","Germany / Austria"
"Acuminite","SrAlF4(OH)·H2O","785","Denmark (Greenland)"
"Adachiite","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","6164","Japan"
"Adamite","Zn2+2As5+O4(OH)","786","Chile"
"Adamsite-(Y)","NaY3+(CO3)2·6H2O","787","Canada"
"Adanite","Pb2+2(Te4+O3)(S6+O4)","6938","USA"
"Addibischoffite","Ca2Al6Al6O20","6412","Algeria (meteorite)"
"Adelite","CaMgAs5+O4(OH)","788","Sweden"
"Admontite","MgB6O10·7H2O","789","Austria"
"Adolfpateraite","K(U6+O2)(S6+O4)(OH)(H2O)","5970","Czech Republic"
"Adranosite","(N3-H4)4NaAl2(S6+O4)4Cl(OH)2","5717","Italy"
"Adranosite-(Fe)","(N3-H4)4NaFe3+2(S6+O4)4Cl(OH)2","5936","Italy"
"Adrianite","Ca12(Al4Mg3Si7)O32Cl6","6322","Mexico (meteorite)"
"Aegirine","NaFe3+Si2O6","790","Norway"
"Aegirine-augite","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","4919","Russia"
"Aenigmatite","Na4(Fe2+10Ti4+2)O4[Si12O36]","791","Denmark (Greenland)"
"Aerinite","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","792","Spain"
"Aerugite","Ni2+8.5(As5+O4)2As5+O8","4876","Germany"
"Aeschynite-(Ce)","(Ce3+,Ca,Fe2+,Th4+)(Ti4+,Nb5+)2(O,OH)6","793","Russia"
"Aeschynite-(Nd)","(Nd3+,Ln3+,Ca)(Ti4+,Nb5+)2(O,OH)6","794","China"
"Aeschynite-(Y)","(Y3+,Ca,Th4+)(Ti4+,Nb5+)2(O,OH)6","795","Norway"
"Afghanite","Na22Ca10(Si24Al24)O96(S6+O4)6Cl6","796","Afghanistan"
"Afmite","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","5844","France"
"Afwillite","Ca3(SiO4)(SiO2(OH)2)·2H2O","797","South Africa"
"Agaite","Pb2+3Cu2+Te6+O5(OH)2(CO3)","6058","USA"
"Agakhanovite-(Y)","Y3+Ca[box]2KBe3Si12O30","6248","Norway"
"Agardite-(Ce)","Cu2+6Ce3+(As5+O4)3(OH)6·3H2O","799","Germany"
"Agardite-(La)","Cu2+6La3+(As5+O4)3(OH)6·3H2O","801","Greece"
"Agardite-(Nd)","Cu2+6Nd3+(As5+O4)3(OH)6·3H2O","802","Greece"
"Agardite-(Y)","Cu2+6Y3+(As5+O4)3(OH)6·3H2O","803","Morocco"
"Agmantinite","Ag1+2Mn2+Sn4+S2-4","6381","Peru"
"Agrellite","NaCa2Si4O10F","804","Canada"
"Agricolaite","K4(U6+O2)(CO3)3","5810","Czech Republic"
"Agrinierite","K2Ca[(U6+O2)3O3(OH)2]2·5H2O","805","France"
"Aguilarite","Ag1+4Se2-S2-","806","Mexico"
"Aheylite","Fe2+Al6(PO4)4(OH)8·4H2O","807","Bolivia"
"Ahlfeldite","Ni2+Se4+O3·2H2O","808","Bolivia"
"Ahrensite","SiFe2+2O4","6189","Morocco (meteorite)"
"Aikinite","Cu1+Pb2+Bi3+S2-3","809","Russia"
"Aiolosite","Na2(Na2Bi3+)(S6+O4)3Cl","5674","Italy"
"Airdite","Sr(V4+O)2(PO4)2·4H2O","7052","Australia"
"Ajoite","K3Cu2+20Al3Si29O76(OH)16·8H2O","810","USA"
"Akaganeite","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","811","Japan"
"Akaogiite","Ti4+O2","5657","Germany"
"Akatoreite","Mn2+9Al2Si8O24(OH)8","812","New Zealand"
"Akdalaite","Al10O14(OH)2","813","Kazakhstan"
"Åkermanite","Ca2MgSi2O7","814","Sweden"
"Akhtenskite","Mn4+O2","815","Russia"
"Akimotoite","MgSiO3","816","Australia (meteorite)"
"Aklimaite","Ca4[Si2O5(OH)2](OH)4·5H2O","5978","Russia"
"Akopovaite","Al4Li2(OH)12(CO3)(H2O)3","6825","Kyrgyzstan"
"Akrochordite","Mn2+5(As5+O4)2(OH)4·4H2O","817","Sweden"
